generating_institute     gfz-potsdam
     generating_date     2021/08/19
        product_type     topography
                body     earth
           modelname     etopo1-2250
          functional     topography_grd (grid)=>bi-linear interpolation
                unit     meter
          refsysname     WGS84
        radiusrefsys     6378137.000 m
          flatrefsys      3.352810664747480E-03   (1/298.25722356300)
       long_lat_unit     degree
      latlimit_north       14.170000000000    
      latlimit_south      -57.830000000000    
      longlimit_west       276.25000000000    
      longlimit_east       327.25000000000    
            gridstep       1.0000000000000    
  latitude_parallels            73
 longitude_parallels            52
number_of_gridpoints          3796
            gapvalue          99999.0000
       weighted_mean     -1.6588518E+03 meter
            maxvalue      5.2980000E+03 meter
            minvalue     -6.7580000E+03 meter
         signal_wrms      2.4289274E+03 meter
         grid_format     long_lat_value
 
          longitude    latitude    topography_grd
            [deg.]      [deg.]         [meter]
       284.250000     11.170000   -1860.00
       285.250000     11.170000    -120.80
       286.250000     11.170000     171.40
       287.250000     11.170000     276.80
       288.250000     11.170000      -1.20
       289.250000     11.170000      18.20
       290.250000     11.170000     798.80
       291.250000     11.170000     102.80
       292.250000     11.170000   -1518.40
       293.250000     11.170000    -820.20
       294.250000     11.170000    -332.40
       295.250000     11.170000    -131.80
       296.250000     11.170000      -1.60
       297.250000     11.170000     -59.40
       298.250000     11.170000    -156.00
       299.250000     11.170000       8.80
       300.250000     11.170000   -1847.40
       301.250000     11.170000   -1628.80
       302.250000     11.170000   -3307.80
       303.250000     11.170000   -4213.20
       304.250000     11.170000   -4468.80
       305.250000     11.170000   -4643.20
       306.250000     11.170000   -4793.40
       307.250000     11.170000   -4952.00
       308.250000     11.170000   -4972.00
       309.250000     11.170000   -4986.60
       310.250000     11.170000   -4880.00
       311.250000     11.170000   -4926.80
       312.250000     11.170000   -4743.00
       313.250000     11.170000   -5098.80
       314.250000     11.170000   -4805.80
       315.250000     11.170000   -3899.60
       316.250000     11.170000   -4084.80
       317.250000     11.170000   -3858.40
       318.250000     11.170000   -3832.60
       319.250000     11.170000   -4128.80
       320.250000     11.170000   -4545.00
       321.250000     11.170000   -4821.80
       322.250000     11.170000   -4880.40
       323.250000     11.170000   -4959.60
       324.250000     11.170000   -4756.00
       325.250000     11.170000   -5344.00
       326.250000     11.170000   -5138.00
       327.250000     11.170000   -5423.40
       276.250000     10.170000     453.20
       277.250000     10.170000   -1310.60
       278.250000     10.170000   -2681.20
       279.250000     10.170000   -3012.40
       280.250000     10.170000   -2518.20
       281.250000     10.170000   -1813.80
       282.250000     10.170000   -2364.40
       283.250000     10.170000   -3058.00
       284.250000     10.170000      -3.60
       285.250000     10.170000       8.20
       286.250000     10.170000     375.40
       287.250000     10.170000     954.60
       288.250000     10.170000      -2.20
       289.250000     10.170000     766.40
       290.250000     10.170000     628.40
       291.250000     10.170000     362.00
       292.250000     10.170000     407.00
       293.250000     10.170000     169.80
       294.250000     10.170000      59.80
       295.250000     10.170000      -1.20
       296.250000     10.170000     902.00
       297.250000     10.170000      12.60
       298.250000     10.170000      -1.00
       299.250000     10.170000     -49.00
       300.250000     10.170000    -792.60
       301.250000     10.170000   -1961.60
       302.250000     10.170000   -3322.00
       303.250000     10.170000   -3738.60
       304.250000     10.170000   -3786.00
       305.250000     10.170000   -4271.00
       306.250000     10.170000   -4609.40
       307.250000     10.170000   -4834.00
       308.250000     10.170000   -4911.40
       309.250000     10.170000   -4909.00
       310.250000     10.170000   -4875.40
       311.250000     10.170000   -4848.60
       312.250000     10.170000   -4836.00
       313.250000     10.170000   -4738.60
       314.250000     10.170000   -4819.40
       315.250000     10.170000   -4661.80
       316.250000     10.170000   -4257.00
       317.250000     10.170000   -4081.40
       318.250000     10.170000   -4251.40
       319.250000     10.170000   -3257.40
       320.250000     10.170000   -3847.00
       321.250000     10.170000   -3998.40
       322.250000     10.170000   -3487.00
       323.250000     10.170000   -4433.20
       324.250000     10.170000   -4914.80
       325.250000     10.170000   -5087.60
       326.250000     10.170000   -5191.00
       327.250000     10.170000   -5690.00
       276.250000      9.170000      19.60
       277.250000      9.170000    1861.00
       278.250000      9.170000     -45.80
       279.250000      9.170000    -594.40
       280.250000      9.170000     142.00
       281.250000      9.170000      85.60
       282.250000      9.170000    -373.00
       283.250000      9.170000   -1173.80
       284.250000      9.170000       0.60
       285.250000      9.170000      16.60
       286.250000      9.170000      25.80
       287.250000      9.170000      71.40
       288.250000      9.170000       7.20
       289.250000      9.170000    2773.60
       290.250000      9.170000     203.60
       291.250000      9.170000      85.20
       292.250000      9.170000      94.40
       293.250000      9.170000     137.00
       294.250000      9.170000     120.80
       295.250000      9.170000     156.40
       296.250000      9.170000     183.00
       297.250000      9.170000      16.00
       298.250000      9.170000       8.00
       299.250000      9.170000       1.60
       300.250000      9.170000     -40.60
       301.250000      9.170000   -1615.80
       302.250000      9.170000   -2653.20
       303.250000      9.170000   -3234.60
       304.250000      9.170000   -3405.40
       305.250000      9.170000   -2959.60
       306.250000      9.170000   -4295.60
       307.250000      9.170000   -4684.40
       308.250000      9.170000   -4731.80
       309.250000      9.170000   -4720.40
       310.250000      9.170000   -4672.80
       311.250000      9.170000   -4701.40
       312.250000      9.170000   -4672.20
       313.250000      9.170000   -4749.60
       314.250000      9.170000   -4756.40
